abandon/ ə’bændən/ vt.丢弃；放弃，抛弃
compute/ kəm’pju:t/ vt.计算，估计，估算
computer/ kəm’pju:tə/ n.计算机，电脑
conceal/ kən’si:l/ vt.把…隐藏起来
concentrate/ ‘kɔnsəntreit/ vt.集中；聚集；浓缩
concentration/ kɔnsən’treiʃən/ n.集中；专注；浓缩
concept/ ‘kɔnsept/ n.概念，观念，设想
concern/ kən’sə:n/ n.关心，挂念；关系
concerning/ kən’sə:niŋ/ prep.关于
concert/ ‘kɔnsət/ n.音乐会，演奏会
conclude/ kən’klu:d/ vt.推断出；结束
conclusion/ kən’klu:ʒən/ n.结论，推论；结尾
concrete/ ‘kɔnkri:t/ n.混凝土；具体物
condemn/ kən’dem/ vt.谴责，指责；判刑
condense/ kən’dens/ vt.压缩，使缩短
condition/ kən’diʃən/ n.状况，状态；环境
conduct/ ‘kɔndəkt, kən’dΛkt/ n.举止，行为；指导
conductor/ kən’dΛktə/ n.售票员；(乐队)指挥
conference/ ‘kɔnfərəns/ n.会议，讨论会
confess/ kən’fes/ vt.供认，承认；坦白
confidence/ ‘kɔnfidəns/ n.信任；信赖；信心
confident/ ‘kɔnfidənt/ n.确信的，自信的
confine/ kən’fain/ vt.限制；禁闭
confirm/ kən’fə:m/ vt.证实，肯定；批准
conflict/ ‘kɔnflikt, kən’flikt/ n.争论；冲突；斗争
confuse/ kən’fju:z/ vt.使混乱，混淆
congratulate/ kən’grætjuleit/ vt.祝贺，向…道喜
congress/ ‘kɔŋgres/ n.大会；国会，议会
conjunction/ kən’dʒΛŋkʃən/ n.接合，连接；连接词
connect/ kə’nekt/ vt.连接，连结；联系
connection/ kə’nekʃən/ n.连接，联系；连贯性
conquer/ ‘kɔŋkə/ vt.征服，战胜；破除
conquest/ ‘kɔŋkwest/ n.攻取，征服；克服
conscience/ ‘kɔnʃəns/ n.良心，道德心
conscious/ ‘kɔnʃəs/ a.意识到的；有意的
consciousness/ ‘kɔnʃəsnis/ n.意识，觉悟；知觉
consent/ kən’sent/ n.同意，赞成vi.同意
consequence/ ‘kɔnsikwəns/ n.结果，后果
consequently/ ‘kɔnsikwəntli/ ad.因此，因而，所以
conservation/ kɔnsə(:)’veiʃən/ n.保存，保护；守恒
conservative/ kən’sə:vətiv/ a.保守的n.保守的人
consider/ kən’sidə/ vt.认为；考虑；关心
considerable/ kən’sidərəbl/ a.相当大的；重要的
considerate/ kən’sidərit/ a.考虑周到的；体谅的
consideration/ kənsidə’reiʃən/ n.考虑，思考；体贴
consist/ kən’sist/ vi.由…组成；在于
consistent/ kən’sistənt/ a.坚持的，一贯的
constant/ ‘kɔnstənt/ a.经常的；永恒的
constitute/ ‘kɔnstitju:t/ vt. 构成,组成,任命
constitution/ kɔnsti’tju:ʃən/ n.章程；体质；构造
construct/ kən’strΛkt/ vt.建造；建设；构筑
construction/ kən’strΛkʃən/ n.建造；建筑；建筑物
consult/ kən’sΛlt/ vt.请教，查阅
consume/ kən’sju:m/ vt.消耗，消费；消灭
consumption/ kən’sΛmpʃən/ n.消耗量；消耗
contact/ ‘kɔntækt, kən’tækt/ vt.使接触；与…联系
contain/ kən’tein/ vt.包含，容纳；等于
container/ kən’teinə/ n.容器；集装箱
contemporary/ kən’tempərəri/ a.当代的，同时代的
contempt/ kən’tempt/ n.轻蔑；藐视；受辱
content/ ‘kɔntent, kən’tent/ n.内容，目录；容量
content/ ‘kɔntent, kən’tent/ a.满意的，满足的
contest/ kən’test, ‘kɔntest/ vt.争夺，争取；辩驳
continent/ ‘kɔntinənt/ n.大陆；陆地；洲
continual/ kən’tinjuəl/ a.不断的；连续的
continue/ kən’tinju(:)/ vt.继续，连续；延伸
continuous/ kən’tinjuəs/ a.连续不断的，持续的
contract/ ‘kɔntrækt, kən’trækt/ n.契约，合同；婚约
contradiction/ kɔntrə’dikʃən/ n.矛盾，不一致；否认
contrary/ ‘kɔntrəri/ a.相反的n.相反
contrast/ ‘kɔntræst, kən’træst/ n.对比，对照，悬殊
contribute/ kən’tribju(:)t/ vt.捐献，捐助；投稿
control/ kən’trəul/ vt.控制，克制n.控制
convenience/ kən’vi:njəns/ n.便利，方便；厕所
convenient/ kən’vi:njənt/ a.便利的；近便的
convention/ kən’venʃən/ n.习俗，惯例；公约
conventional/ kən’venʃənl/ a.普通的；习惯的
conversation/ kɔnvə’seiʃən/ n.会话，非正式会谈
conversely/ ‘kɔnvə:sli/ ad.相反地
conversion/ kən’və:ʃən/ n.转变，转化；改变
convert/ kən’və:t, ‘kɔnvə:t/ vt.使转变；使改变
convey/ kən’vei/ vt.传送；运送；传播
convince/ kən’vins/ vt.使确信，使信服
cook/ kuk/ vt.烹调，煮vt.烧菜
cool/ ku:l/ a.凉的，冷静的
cooperate/ kəu’ɔpəreit/ vi.合作，协作；配合
coordinate/ kəu’ɔdinit/ vt.使协调，调节
cope/ kəup/ vi.对付，应付
copper/ ‘kɔpə/ n.铜；铜币，铜制器
copy/ ‘kɔpi/ n.抄件vt.抄写，复制
cord/ kɔ:d/ n.细绳，粗线，索
core/ kɔ:/ n.果实的心，核心
corn/ kɔ:n/ n.谷物；(英)小麦
corner/ ‘kɔ:nə/ n.角；犄角；边远地区
corporation/ kɔ:pə’reiʃən/ n.公司，企业；社团
correct/ kə’rekt/ a.正确的vt.纠正
correspond/ kɔris’pɔnd/ vi.相符合；相当
corresponding/ kɔris’pɔndiŋ/ a.相应的；符合的
corridor/ ‘kɔridɔ:/ n.走廊，回廊，通路
cost/ kɔst/ n.价格，代价；成本
costly/ ‘kɔstli/ a.昂贵的；价值高的
cottage/ ‘kɔtidʒ/ n.村舍，小屋
cotton/ ‘kɔtn/ n.棉；棉线；棉布
cough/ kɔf/ vi.咳，咳嗽n.咳嗽
could/ kud, kəd/ aux.v.(can 的过去式)
council/ ‘kaunsil/ n.理事会，委员会
count/ kaunt/ vt.计算vi.数，计数
counter/ ‘kauntə/ n.柜台；计数器
country/ ‘kΛntri/ n.国家，国土；农村
countryside/ ‘kΛntrisaid/ n.乡下，农村
county/ ‘kaunti/ n.英国的郡，美国的县
couple/ ‘kΛpl/ n.夫妇；(一)对；几个
courage/ ‘kΛridʒ/ n.勇气，胆量，胆识
course/ kɔ:s/ n.课程；过程；一道菜
court/ kɔ:t/ n.法院，法庭；庭院
cousin/ ‘kΛzn/ n.堂(或表)兄弟(姐妹)
cover/ ‘kΛvə/ vt.盖，包括n.盖子
cow/ kau/ n.母牛，奶牛；母兽
crack/ kræk/ n.裂缝，裂纹vi.爆裂
craft/ kra:ft/ n.工艺；手艺，行业
crane/ krein/ n.起重机，摄影升降机
crash/ kræʃ/ vi.碰撞，坠落n.碰撞
crawl/ krɔ:l/ vi.爬，爬行
crazy/ ‘kreizi/ a.疯狂的，荒唐的
cream/ kri:m/ n.奶油，乳脂；奶油色
create/ kri(:)’eit/ vt.创造；引起，产生
creative/ kri(:)’eitiv/ a.创造性的，创作的
creature/ ‘kri:tʃə/ n.生物，动物，家畜
credit/ ‘kredit/ n.信用贷款；信用
creep/ kri:p/ vi.爬行；缓慢地行进
crew/ kru:/ n.全体船员
crime/ kraim/ n.罪，罪行；犯罪
criminal/ ‘kriminl/ n.犯人，罪犯，刑事犯
crisis/ ‘kraisis/ n.危机；存亡之际
critic/ ‘kritik/ n.批评家，爱挑剔的人
critical/ ‘kritikəl/ a.决定性的；批评的
criticism/ ‘kritisizəm/ n.批评；批判；评论
criticize/ ‘kritisaiz/ vt.批评；评论；非难
crop/ krɔp/ n.农作物，庄稼；一熟
cross/ krɔs/ vt.穿过；使交叉
crowd/ kraud/ n.群；大众；一伙人
crown/ kraun/ n.王冠，冕；花冠
crude/ kru:d/ a.简陋的；天然的
cruel/ ‘kruəl/ a.残忍的，残酷的
crush/ krΛʃ/ vt.压碎，碾碎；镇压
crust/ krΛst/ n.面包皮；硬外皮
cry/ krai/ vi.哭，哭泣；叫喊
crystal/ ‘kristl/ n.水晶，结晶体；晶粒
cube/ kju:b/ n.立方形；立方
cubic/ ‘kju:bik/ a.立方形的；立方的
cultivate/ ‘kΛltiveit/ vt.耕；种植；培养
culture/ ‘kΛltʃə/ n.文化，文明；教养
cup/ kΛp/ n.杯子；(一)杯；奖杯
cupboard/ ‘kΛbəd/ n.碗柜，碗碟橱；食橱
cure/ kjuə/ vt.医治；消除n.治愈
curiosity/ kjuəri’ositi/ n.好奇，好奇心；珍品
curious/ ‘kjuəriəs/ a.好奇的；稀奇古怪的
current/ ‘kΛrənt/ a.当前的；通用的
curse/ kə:s/ n.诅咒，咒骂；天谴
curtain/ ‘kə:tn/ n.帘，窗帘；幕(布)
curve/ kə:v/ n.曲线；弯vt.弄弯
cushion/ ‘kuʃən/ n.垫子，坐垫，靠垫
custom/ ‘kΛstəm/ n.习惯，风俗；海关
customer/ ‘kΛstəmə/ n.顾客，主顾
cut/ kΛt/ vt.切，割，剪；减少
cycle/ ‘saikl/ n 自行车，循环
each/ i:tʃ/ pron.各，各自a.各
eager/ ‘i:gə/ a.渴望的，热切的
eagle/ ‘i:gl/ n.鹰
ear/ iə/ n.耳朵；听力，听觉
early/ ‘ə:li/ ad.早a.早的，早期的
earn/ ə:n/ vt.赚得，挣得；获得
earnest/ ‘ə:nist/ a.认真的，诚恳的
earth/ ə:θ/ n.地球；陆地，地面
earthquake/ ‘ə:θkweik/ n.地震；大震荡
ease/ i:z/ n.容易，舒适vt.缓和
east/ i:st/ n.东；东部ad.在东方
eastern/ ‘i:stən/ a.东方的；朝东的
easy/ ‘i:zi/ a.容易的；安逸的
eat/ i:t/ vt.吃，喝vi.吃饭
echo/ ‘ekəu/ n.回声，反响vi.重复
econɔmic/ i:kə’nɔmik/ a.经济的，经济学的
economical/ i:kə’nɔmikəl/ a.节约的；经济学的
economy/ i(:)’kɔnəmi/ n.经济；节约，节省
edge/ edʒ/ n.边缘，边；刀口
edition/ i’diʃən/ n.版，版本，版次
editor/ ‘editə/ n.编辑，编者，校订者
educate/ ‘edju(:)keit/ vt.教育；培养；训练
education/ edju:’keiʃən/ n.教育；训导；教育学
effect/ i’fekt/ n.结果；效果，效力
effective/ i’fektiv/ a.有效的；有影响的
efficiency/ i’fiʃənsi/ n.效率；功效，效能
efficient/ i’fiʃənt/ a.效率高的，有能力的
effort/ ‘efət/ n.努力；努力的成果
egg/ eg/ n.蛋，鸡蛋，卵
eight/ eit/ num.八，八个，第八
eighteen/ ‘ei’ti:n/ num.十八，十八个
eighth/ eitθ/ num.第八n.八分之一
eighty/ ‘eiti/ num.八十，八十个
either/ ‘aiðə, ‘i:ðə/ pron.(两者)任何一个
elaborate/ i’læbərit/ a.复杂的；精心制作的
elastic/ i’læstik/ n.松紧带a.有弹性的
elder/ ‘eldə/ a.年龄较大的n.长者
elect/ i’lekt/ vt.选举，推选；选择
election/ i’lekʃən/ n.选举，选择权；当选
electric/ i’lektrik/ a.电的，电动的
electrical/ i’lektrikəl/ a.电的，电气科学的
electricity/ ilek’trisiti/ n.电，电学；电流
electron/ i’lektrɔn/ n.电子
electronic/ ilek’trɔnik/ a.电子的
element/ ‘elimənt/ n.成分；要素；元素
elementary/ eli’mentəri/ a.基本的；初级的
elephant/ ‘elifənt/ n.象
elevator/ ‘eliveitə/ n.电梯；升降机
eleven/ i’levn/ num.十一，十一个
eliminate/ i’limineit/ vt.消灭，消除，排除
else/ els/ ad.其它，另外a.别的
elsewhere/ els’weə/ ad.在别处，向别处
embarrass/ im’bærəs/ vt.使窘迫，使为难
embrace/ im’breis/ vt.拥抱；包括；包围
emerge/ i’mə:dʒ/ vi.出现，涌现；冒出
emergency/ i’mə:dʒənsi/ n.紧急情况，突然事件
emit/ i’mit/ vt.散发；发射；发表
emotion/ i’məuʃən/ n.情感，感情；激动
emotional/ i’məuʃənl/ a.感情的，情绪的
emperor/ ‘empərə/ n.皇帝
emphasis/ ‘emfəsis/ n.强调，重点，重要性
emphasize/ ‘emfəsaiz/ vt.强调，着重
empire/ ‘empaiə/ n.帝国
employ/ im’plɔi/ vi.雇用；用；使忙于
employee/ emplɔi’i:/ n.受雇者，雇员，雇工
employer/ im’plɔiə/ n.雇佣者，雇主
employment/ im’plɔimənt/ n.工业；雇用；使用
empty/ ‘empti/ a.空的；空洞的
enable/ i’neibl/ vt.使能够，使可能
enclose/ in’kləuz/ vt.围住，圈起；附上
encounter/ in’kauntə/ vt.遭遇，遇到n.遭遇
encourage/ in’kΛridʒ/ vt.鼓励，支持，助长
end/ end/ n.末端；目标vt.结束
ending/ ‘endiŋ/ n.结尾，结局；死亡
endless/ ‘endlis/ a.无止境的
endure/ in’djuə/ vt.忍受；容忍
enemy/ ‘enimi/ n.敌人；仇敌；敌兵
energy/ ‘enədʒi/ n.活力；精力；能
enforce/ in’fɔ:s/ vt.实施，执行；强制
engage/ in’geidʒ/ vt.使从事于；聘用
engine/ ‘endʒin/ n. 发动机，引擎；机车
engineer/ endʒi’niə/ n.工程师，技师
engineering/ endʒi’niəriŋ/ n.工程，工程学
enlarge/ in’la:dʒ/ vt.扩大，扩展；放大
enormous/ i’nɔ:məs/ a.巨大的，庞大的
enough/ i’nΛf/ a.足够的ad.足够地
enquire/ in’kwaiə/ vi.vt. 询问
enquiry/ / n. 询问
ensure/ in’ʃuə/ vt.保证；保护；赋予
entertain/ entə’tein/ vt.使欢乐；招待
enthusiasm/ in’θju:ziæzəm/ n.热情，热心，热忱
entitle/ in’taitl/ vt.给…权利(或资格)
entry/ ‘entri/ n.入口处；登记；进入
environment/ in’vaiərənmənt/ n.环境，外界；围绕
envy/ ‘envi/ vt.&n.妒忌；羡慕
equal/ ‘i:kwəl/ a.相等的；平等的
equality/ i(:)’kwɔliti/ n.等同，平等；相等
equation/ i’kweiʃən/ n.方程(式)；等式
equip/ i’kwip/ vt.装备，配备
equipment/ i’kwipmənt/ n.装备，设备，配备
equivalent/ i’kwivələnt/ a.相等的；等量的
era/ ‘iərə/ n.时代，年代；纪元
erect/ i’rekt/ vt.建造；使竖立
error/ ‘erə/ n.错误，谬误；差错
escape/ is’keip/ vi.逃跑；逸出n.逃跑
especially/ is’peʃəli/ ad.特别，尤其，格外
essay/ ‘esei/ n.短文，散文，小品文
essential/ i’senʃəl/ a.必要的，本质的
establish/ is’tæbliʃ/ vt.建立，设立；确立
establishment/ is’tæbliʃmənt/ n.建立，设立，确立
estimate/ ‘estimit, ‘estimeit/ vt.估计，评价n.估计
əurope/ ‘juərəp/ n.欧洲
əuropean/ juərə’pi:ən/ a.欧洲的n.欧洲人
evaluate/ i’væljueit/ vt.评价，估…的价
evaporate/ i’væpəreit/ vt.使蒸发vi.蒸发
eve/ i:v/ n.前夜，前夕，前一刻
even/ ‘i:vən/ ad.甚至；甚至更，还
even/ ‘i:vən/ a.均匀的；平的
evening/ ‘i:vniŋ/ n.傍晚，黄昏，晚上
event/ i’vent/ n.事件，大事；事变
eventually/ i’ventjuəli/ ad.终于；最后
ever/ ‘evə/ ad.在任何时候；曾经
every/ ‘evri/ a.每一的；每隔…的
everybody/ ‘evribɔdi/ pron.每人，人人
everyday/ ‘evridei/ a.每天的，日常的
everyone/ ‘evriwΛn/ pron.每人，人人
everything/ ‘evriθiŋ/ pron.每件事，事事
everywhere/ ‘evriweə/ ad.到处，处处
evidence/ ‘evidəns/ n.根据；证据，证人
evident/ ‘evidənt/ a.明显的，明白的
evil/ ‘i:vl/ n.邪恶；祸害a.坏的
evolution/ i:və’lju:ʃən/ n.进化，演化；发展
evolve/ i’vɔlv/ vt.使进化；使发展
exact/ ig’zækt/ a.确切的；精确的
exaggerate/ ig’zædʒəreit/ vt.&vi.夸大，夸张
exam/ ig’zæm/ n.考试；检查，细查
examination/ igzæmi’neiʃən/ n.考试；检查，细查
examine/ ig’zæmin/ vt.检查，仔细观察
example/ ig’za:mpl/ n.例子，实例；模范
exceed/ ik’si:d/ vt.超过，胜过；超出
exceedingly/ ik’si:diŋli/ ad.极端地，非常
excellent/ ‘eksələnt/ a.优秀的，杰出的
except/ ik’sept/ prep.除…之外
exception/ ik’sepʃən/ n.例外，除外
excess/ ik’ses, ‘ekses/ n.超越；过量；过度
excessive/ ik’sesiv/ a.过多的，极度的
exchange/ iks’tʃeindʒ/ vt.交换；交流n.交换
excite/ ik’sait/ vt.使激动；引起
exciting/ ik’saitiŋ/ a.令人兴奋的
exclaim/ iks’kleim/ vi.呼喊；惊叫
exclude/ iks’klu:d/ vt.把…排除在外
exclusively/ iks’klu:sivli/ ad.专门地
excursion/ iks’kə:ʃən/ n.远足；短途旅行
excuse/ iks’kju:z, iks’kju:s/ vt.原谅；免除n.借口
execute/ ‘eksikju:t/ vt.将…处死；实施
executive/ ig’zekjutiv/ a.执行的n.执行者
exercise/ ‘eksəsaiz/ n.锻炼，训练vi.练习
exert/ ig’zə:t/ vt.尽(力)，运用
exhaust/ ig’zɔ:st/ vt.使筋疲力尽；用尽
exhibit/ ig’zibit/ vt.显示；陈列，展览
exhibition/ eksi’biʃən/ n.展览，陈列；展览会
exist/ ig’zist/ vi.存在；生存，生活
existence/ ig’zistəns/ n.存在，实在；生存
exit/ ‘eksit/ n.出口；退场vi.退出
expand/ iks’pænd/ vt.扩大；使膨胀
expansion/ iks’pænʃən/ n.扩大，扩充；扩张
expect/ iks’pekt/ vt.预料，预期；等待
expectation/ ekspek’teiʃən/ n.期待，期望，预期
expense/ iks’pens/ n.花费，消费；费用
expensive/ iks’pensiv/ a.昂贵的，花钱多的
experience/ iks’piəriəns/ n.经验，感受；经历
experiment/ iks’perimənt/ n.实验；试验
experimental/ iksperi’mentl/ a.实验的，试验的
expert/ ‘ekspə:t/ n.专家a.熟练的
explain/ iks’plein/ vt.解释；为…辩解
explanation/ eksplə’neiʃən/ n.解释，说明；辩解
explode/ iks’pləud/ vt.使爆炸vi.爆炸
explɔit/ ‘eksplɔit, iks’plɔit/ vt.剥削；利用；开拓
explore/ iks’plɔ:/ vt.&vi.探险，探索
explosion/ iks’pləuʒən/ n.爆炸，爆发，炸裂
explosive/ iks’pləusiv/ n.炸药a.爆炸的
export/ eks’pɔ:t, ‘ekspɔ:t/ vt.输出，出口；运走
expose/ iks’pəuz/ vt.使暴露；揭露
exposure/ iks’pəuʒə/ n.暴露；揭露；曝光
express/ iks’pres/ vt.表示n.快车，快递
expression/ iks’preʃən/ n.词句；表达；表情
extend/ iks’tend/ vt.延长；扩大；致
extension/ iks’tenʃən/ n.延长部分；伸展
extensive/ iks’tensiv/ a.广阔的；广泛的
extent/ iks’tent/ n.广度；范围；程度
exterior/ eks’tiəriə/ a.外部的；对外的
external/ eks’tə:nl/ a.外部的，外面的
extra/ ‘ekstrə/ a.额外的ad.特别地
extraordinary/ iks’trɔ:dinəri/ a.非同寻常的，特别的
extreme/ iks’tri:m/ a.极度的；尽头的
eye/ ai/ n.眼睛；眼力；鉴赏力
eyesight/ ‘aisait/ n.视力，目力
fabric/ ‘fæbrik/ n.织物，纺织品；结构
face/ feis/ n.脸；表面；外表
facility/ fə’siliti/ n.设备；容易；便利
fact/ fækt/ n.事实；实际，实情
factor/ ‘fæktə/ n.因素；因子，系数
factory/ ‘fæktəri/ n.工厂，制造厂
faculty/ ‘fækəlti/ n.才能，能力；系，科
fade/ feid/ vi.褪色；逐渐消失
fail/ feil/ vi.失败；失灵；不能
failure/ ‘feiljə/ n.失败；失败的人
faint/ feint/ a.微弱的；虚弱的
fair/ feə/ a.公平的；相当的
fair/ feə/ n.定期集市；博览会
fairly/ ‘feəli/ ad.相当；公平地
faith/ feiθ/ n.信任，信心；信仰
faithful/ ‘feiθful/ a.忠诚的；如实的
fall/ fɔ:l/ vi.落下；跌倒；陷落
false/ fɔ:ls/ a.不真实的；伪造的
fame/ feim/ n.名声，名望
familiar/ fə’miljə/ a.熟悉的；冒昧的
family/ ‘fæmili/ n.家，家庭；家族
famine/ ‘fæmin/ n.饥荒；严重的缺乏
famous/ ‘feiməs/ a.著名的，出名的
fan/ fæn/ n.(运动等)狂热爱好者
fan/ fæn/ n.扇子，风扇vt.扇
fancy/ ‘fænsi/ n.想象力；设想；爱好
far/ fa:/ a.远的ad.远，遥远
fare/ feə/ n.车费，船费，票价
farewell/ ‘feə’wel/ int.再会n.告别
farm/ fa:m/ n.农场，农庄；饲养场
farmer/ ‘fa:mə/ n.农民，农夫；农场主
farther/ ‘fa:ðə/ ad.更远地a.更远的
fashion/ ‘fæʃən/ n.样子，方式；风尚
fashionable/ ‘fæʃənəbl/ a.流行的，时髦的
fast/ fa:st/ a.快的；偏快的ad.快
fasten/ ‘fa:sn/ vt.扎牢，扣住
fat/ fæt/ n. 脂肪,肥肉a. 肥胖的
fatal/ ‘feitl/ a.致命的；命运的
fate/ feit/ n.命运，天数
father/ ‘fa:ðə/ n.父亲；神父；创始人
fatigue/ fə’ti:g/ n.疲劳，劳累
fault/ fɔ:lt/ n.缺点；过失；故障
faulty/ ‘fɔ:lti/ a.有错误的，有缺点的
favour/ ‘feivə/ n.好感；赞同；恩惠
favourable/ ‘feivərəbl/ a.有利的；赞成的
favourite/ ‘feivərit/ a.特别受喜爱的
fear/ fiə/ n.害怕；担心vt.害怕
fearful/ ‘fiəful/ a.害怕的，可怕的
feasible/ ‘fi:zəbl/ a.可行的；可能的
feather/ ‘feðə/ n.羽毛；翎毛；羽状物
feature/ ‘fi:tʃə/ n.特征，特色；面貌
ʃebruary/ ‘februəri/ n.二月
federal/ ‘fedərəl/ a.联邦的；联盟的
fee/ fi:/ n.费，酬金；赏金
feed/ fi:d/ vt.喂(养) vi.吃饲料
feedback/ ‘fi:dbæk/ n.回授，反馈，反应
feel/ fi:l/ vi.有知觉vt.触，摸
feeling/ ‘fi:liŋ/ n.感情；感觉，知觉
fellow/ ‘feləu/ n.人，家伙；伙伴
female/ ‘fi:meil/ n.雌性的动物；女子
fence/ fens/ n.栅栏
fertile/ ‘fə:tail/ a.肥沃的；多产的
fertilizer/ ‘fə:tilaizə/ n.肥料
festival/ ‘festəvəl/ n.节日；音乐节
fetch/ fetʃ/ vt.拿来；请来，接去
fever/ ‘fi:və/ n.发热，发烧；狂热
few/ fju:/ a.很少的；少数的
fibre/ ‘faibə/ n.纤维，纤维质
fiction/ ‘fikʃən/ n.小说；虚构，杜撰
field/ fi:ld/ n.田野；田；运动场
fierce/ fiəs/ a.凶猛的，狂热的
fifteen/ ‘fif’ti:n/ num.十五；十五个
fifth/ fifθ/ num.第五n.五分之一
fifty/ ‘fifti/ num.五十，五十个
fight/ fait/ vi.打(仗)；斗争
figure/ ‘figə/ n.数字；外形；人物
file/ fail/ n.档案vt.把…归档
fill/ fil/ vt.装满，盛满；占满
film/ film/ n.影片；胶卷；薄层
filter/ ‘filtə/ vt.过滤n.滤纸
final/ ‘fainl/ a.最后的；决定性的
finally/ ‘fainəli/ ad.最后；不可更改的
finance/ fai’næns, fi-/ n.财政，金融；财源
financial/ fai’nænʃəl, fi-/ a.财政的，金融的
find/ faind/ vt.找到；发觉；找出
finding/ faindiŋ/ n.发现；调查的结果
fine/ fain/ a.美好的；纤细的
fine/ fain/ n.罚金，罚款
finger/ ‘fiŋgə/ n.手指；指状物
finish/ ‘finiʃ/ vt.完成，结束n.结束
fire/ ‘faiə/ n.火；火灾vi.开火
fireman/ ‘faiəmən/ n.消防队员；司炉工
firm/ fə:m/ n.商行，商号，公司
first/ fə:st/ num.第一ad.最初
fish/ fiʃ/ n.鱼，鱼肉vi.钓鱼
fisherman/ ‘fiʃəmən/ n.渔民，渔夫，打鱼人
fit/ fit/ vt.适合；安装vi.适合
five/ faiv/ num.五，五个，第五
fix/ fiks/ vt.使固定；决定
flag/ flæg/ n.旗，旗帜；旗舰旗
flame/ fleim/ n.火焰；光辉；热情
flash/ flæʃ/ n.闪光vi.闪，闪烁
flat/ flæt/ a.平的，扁平的
flat/ flæt/ n.一套房间；单元住宅
flavour/ ‘fleivə/ n.味，味道；风味
fleet/ fli:t/ n.舰队；船队，机群
flesh/ fleʃ/ n.肉，肌肉；肉体
flexible/ ‘fleksəbl/ a.易弯曲的；灵活的
flight/ flait/ n.航班；飞行；逃跑
float/ fləut/ vi.漂浮vt.使漂浮
flock/ flɔk/ n.羊群，群；大量
flood/ flΛd/ n.洪水vt.淹没
floor/ flɔ:/ n.地板；楼层
flour/ ‘flauə/ n.面粉，粉；粉状物质
flourish/ ‘flΛriʃ/ vi.繁荣，茂盛，兴旺
flow/ fləu/ vi.流动；飘垂；涨潮
flower/ ‘flauə/ n.花，花卉；开花
fluent/ ‘flu(:)ənt/ a.流利的，流畅的
fluid/ ‘flu(:)id/ n.流体，液体
fly/ flai/ n.蝇，苍蝇vi.飞行
focus/ ‘fəukəs/ vi.聚焦，注视n.焦点
fog/ fɔg/ n.雾；烟雾，尘雾
fold/ fəuld/ vt.折叠；合拢n.褶
folk/ fəulk/ n.人们，家属，亲属
follow/ ‘fɔləu/ vt.跟随；结果是
following/ ‘fɔləuiŋ/ a.接着的；下列的
fond/ fɔnd/ a.喜爱的；溺爱的
food/ fu:d/ n.食物，食品，养料
fool/ fu:l/ n.蠢人，傻子vt.欺骗
foolish/ ‘fu:liʃ/ a.愚蠢的；鲁莽的
foot/ fut/ n.脚；最下部；英尺
football/ ‘futbɔ:l/ n.足球比赛；足球
footstep/ ‘futstep/ n.脚步；脚步声；足迹
for/ fɔ:, fə/ prep.为；给；因为
forbid/ fə’bid/ vt.禁止，不许；阻止
force/ fɔ:s/ vt.强迫n.力，力量
forecast/ ‘fɔ:ka:st/ n.预测，预报vt.预示
forehead/ ‘fɔrid, ‘fɔ:hed/ n.额头，前部
foreign/ ‘fɔrin/ a.外国的；外来的
foreigner/ ‘fɔrinə/ n.外国人
forest/ ‘fɔrist/ n.森林；森林地带
forever/ fə’revə/ ad.永远，总是，老是
forge/ fɔ:dʒ/ n. 熔炉,铁工厂vt. 打制,锻造,伪造
forget/ fə’get/ vt.忘记，遗忘
forgive/ fə’giv/ vt.原谅，饶恕，宽恕
fork/ fɔ:k/ n.餐叉；叉；分叉
form/ fɔ:m/ n.形式；形状vt.形成
formal/ ‘fɔ:məl/ a.正式的；礼仪上的
formation/ fɔ:’meiʃən/ n.形成；构成；形成物
former/ ‘fɔ:mə/ a.在前的n.前者
formula/ ‘fɔ:mjulə/ n.公式，式
forth/ fɔ:θ/ ad.向前；向外，往外
fortnight/ ‘fɔ:tnait/ n.两星期，十四天
fortunate/ ‘fɔ:tʃənit/ a.幸运的，侥幸的
fortunately/ ‘fɔ:tʃənitli/ ad.幸运地，幸亏
fortune/ ‘fɔ:tʃən/ n.命运，运气；财产
forty/ ‘fɔ:ti/ num.四十，第四十
forward/ ‘fɔ:wəd/ ad.向前；今后，往后
found/ faund/ vt.创立，创办；建立
foundation/ faun’deiʃən/ n.基础；地基；基金
fountain/ ‘fauntin/ n.泉水，喷泉；源泉
four/ fɔ:/ num.四，四个，第四
fourteen/ ‘fɔ:’ti:n/ num.十四，第十四
fox/ fɔks/ n.狐狸；狡猾的人
fraction/ ‘frækʃən/ n.小部分；片断；分数
fragment/ ‘frægmənt/ n.碎片，破片，碎块
frame/ freim/ n.框架，框子；构架
framework/ ‘freimwə:k/ n.框架，构架，结构
frank/ fræŋk/ a.坦白的，直率的
free/ fri:/ a.自由的；空闲的
freedom/ ‘fri:dəm/ n.自由；自主
freeze/ fri:z/ vi.冻；结冻vt.使结冰
freight/ freit/ n.货运；货物；运费
ʃrench/ frentʃ/ a.法国的n.法国人
frequency/ ‘fri:kwənsi/ n.屡次；次数；频率
frequent/ ‘fri:kwənt/ a.时常发生的；经常的
fresh/ freʃ/ a.新的；新鲜的
friction/ ‘frikʃən/ n.摩擦，摩擦力
friday/ ‘fraidi/ n.星期五
fridge/ fridʒ/ n.电冰箱
friend/ frend/ n.朋友，友人
friendly/ ‘frendli/ a.友好的，友谊的
